YEAR,MH1,AGE,COUNT
2016,Pervasive Developmental,0-11,16780
2016,Pervasive Developmental,12-14,5120
2016,Pervasive Developmental,15-17,3650
2016,Pervasive Developmental,18-20,2052
2016,Pervasive Developmental,21-24,1014
2016,Pervasive Developmental,25-29,654
2016,Pervasive Developmental,30-34,292
2016,Pervasive Developmental,35-39,143
2016,Pervasive Developmental,40-44,124
2016,Pervasive Developmental,45-49,102
2016,Pervasive Developmental,50-54,89
2016,Pervasive Developmental,55-59,76
2016,Pervasive Developmental,60-64,46
2016,Pervasive Developmental,65+,42
2016,Personality,0-11,18
2016,Personality,12-14,24
2016,Personality,15-17,101
2016,Personality,18-20,272
2016,Personality,21-24,626
2016,Personality,25-29,1005
2016,Personality,30-34,951
2016,Personality,35-39,841
2016,Personality,40-44,684
2016,Personality,45-49,767
2016,Personality,50-54,697
2016,Personality,55-59,446
2016,Personality,60-64,211
2016,Personality,65+,193
2016,Schizophrenia/Other Psychotic,0-11,204
2016,Schizophrenia/Other Psychotic,12-14,260
2016,Schizophrenia/Other Psychotic,15-17,647
2016,Schizophrenia/Other Psychotic,18-20,1408
2016,Schizophrenia/Other Psychotic,21-24,3452
2016,Schizophrenia/Other Psychotic,25-29,5674
2016,Schizophrenia/Other Psychotic,30-34,6291
2016,Schizophrenia/Other Psychotic,35-39,6271
2016,Schizophrenia/Other Psychotic,40-44,6345
2016,Schizophrenia/Other Psychotic,45-49,8222
2016,Schizophrenia/Other Psychotic,50-54,10943
2016,Schizophrenia/Other Psychotic,55-59,10842
2016,Schizophrenia/Other Psychotic,60-64,7799
2016,Schizophrenia/Other Psychotic,65+,8083
2016,Alcohol/Substance Abuse,0-11,1
2016,Alcohol/Substance Abuse,12-14,53
2016,Alcohol/Substance Abuse,15-17,522
2016,Alcohol/Substance Abuse,18-20,152
2016,Alcohol/Substance Abuse,21-24,141
2016,Alcohol/Substance Abuse,25-29,172
2016,Alcohol/Substance Abuse,30-34,173
2016,Alcohol/Substance Abuse,35-39,154
2016,Alcohol/Substance Abuse,40-44,120
2016,Alcohol/Substance Abuse,45-49,118
2016,Alcohol/Substance Abuse,50-54,143
2016,Alcohol/Substance Abuse,55-59,99
2016,Alcohol/Substance Abuse,60-64,43
2016,Alcohol/Substance Abuse,65+,58
2016,Other,0-11,4484
2016,Other,12-14,1996
2016,Other,15-17,2360
2016,Other,18-20,1352
2016,Other,21-24,1169
2016,Other,25-29,1514
2016,Other,30-34,1234
2016,Other,35-39,1157
2016,Other,40-44,1002
2016,Other,45-49,1107
2016,Other,50-54,1158
2016,Other,55-59,903
2016,Other,60-64,572
2016,Other,65+,583
2017,Trauma/stress-related,0-11,33178
2017,Trauma/stress-related,12-14,13820
2017,Trauma/stress-related,15-17,12387
2017,Trauma/stress-related,18-20,6244
2017,Trauma/stress-related,21-24,7478
2017,Trauma/stress-related,25-29,11729
2017,Trauma/stress-related,30-34,11354
2017,Trauma/stress-related,35-39,10413
2017,Trauma/stress-related,40-44,8717
2017,Trauma/stress-related,45-49,9121
2017,Trauma/stress-related,50-54,9135
2017,Trauma/stress-related,55-59,7613
2017,Trauma/stress-related,60-64,5257
2017,Trauma/stress-related,65+,7871
2017,Anxiety,0-11,7880
2017,Anxiety,12-14,5424
2017,Anxiety,15-17,6374
2017,Anxiety,18-20,4282
2017,Anxiety,21-24,5313
2017,Anxiety,25-29,8589
2017,Anxiety,30-34,8900
2017,Anxiety,35-39,7719
2017,Anxiety,40-44,6556
2017,Anxiety,45-49,6674
2017,Anxiety,50-54,7043
2017,Anxiety,55-59,6081
2017,Anxiety,60-64,4180
2017,Anxiety,65+,6073
2017,ADHD,0-11,42090
2017,ADHD,12-14,16754
2017,ADHD,15-17,11903
2017,ADHD,18-20,5549
2017,ADHD,21-24,4186
2017,ADHD,25-29,4601
2017,ADHD,30-34,2963
2017,ADHD,35-39,1530
2017,ADHD,40-44,856
2017,ADHD,45-49,639
2017,ADHD,50-54,544
2017,ADHD,55-59,344
2017,ADHD,60-64,190
2017,ADHD,65+,111
2017,Conduct,0-11,9588
2017,Conduct,12-14,2145
2017,Conduct,15-17,2432
2017,Conduct,18-20,950
2017,Conduct,21-24,562
2017,Conduct,25-29,714
2017,Conduct,30-34,856
2017,Conduct,35-39,754
2017,Conduct,40-44,421
2017,Conduct,45-49,243
2017,Conduct,50-54,88
2017,Conduct,55-59,48
2017,Conduct,60-64,39
2017,Conduct,65+,52
2017,Delirium/dementia,0-11,67
2017,Delirium/dementia,12-14,35
2017,Delirium/dementia,15-17,56
2017,Delirium/dementia,18-20,44
2017,Delirium/dementia,21-24,77
2017,Delirium/dementia,25-29,122
2017,Delirium/dementia,30-34,133
2017,Delirium/dementia,35-39,172
2017,Delirium/dementia,40-44,185
2017,Delirium/dementia,45-49,253
2017,Delirium/dementia,50-54,394
2017,Delirium/dementia,55-59,496
2017,Delirium/dementia,60-64,498
2017,Delirium/dementia,65+,4204
2017,Bipolar,0-11,1817
2017,Bipolar,12-14,2312
2017,Bipolar,15-17,4259
2017,Bipolar,18-20,4418
2017,Bipolar,21-24,7291
2017,Bipolar,25-29,12654
2017,Bipolar,30-34,13222
2017,Bipolar,35-39,13025
2017,Bipolar,40-44,11614
2017,Bipolar,45-49,13341
2017,Bipolar,50-54,13692
2017,Bipolar,55-59,11278
2017,Bipolar,60-64,7035
2017,Bipolar,65+,8008
2017,Depressive,0-11,2983
2017,Depressive,12-14,7579
2017,Depressive,15-17,13636
2017,Depressive,18-20,9458
2017,Depressive,21-24,12250
2017,Depressive,25-29,20326
2017,Depressive,30-34,21370
2017,Depressive,35-39,21536
2017,Depressive,40-44,20391
2017,Depressive,45-49,24819
2017,Depressive,50-54,28992
2017,Depressive,55-59,26762
2017,Depressive,60-64,19185
2017,Depressive,65+,26029
2017,Oppositional Defiant,0-11,8756
2017,Oppositional Defiant,12-14,4333
2017,Oppositional Defiant,15-17,4217
2017,Oppositional Defiant,18-20,1329
2017,Oppositional Defiant,21-24,1005
2017,Oppositional Defiant,25-29,1284
2017,Oppositional Defiant,30-34,1158
2017,Oppositional Defiant,35-39,745
2017,Oppositional Defiant,40-44,242
2017,Oppositional Defiant,45-49,73
2017,Oppositional Defiant,50-54,21
2017,Oppositional Defiant,55-59,17
2017,Oppositional Defiant,60-64,10
2017,Oppositional Defiant,65+,24
2017,Pervasive Developmental,0-11,13035
2017,Pervasive Developmental,12-14,4803
2017,Pervasive Developmental,15-17,3675
2017,Pervasive Developmental,18-20,2283
2017,Pervasive Developmental,21-24,1329
2017,Pervasive Developmental,25-29,931
2017,Pervasive Developmental,30-34,433
2017,Pervasive Developmental,35-39,216
2017,Pervasive Developmental,40-44,172
2017,Pervasive Developmental,45-49,145
2017,Pervasive Developmental,50-54,136
2017,Pervasive Developmental,55-59,102
2017,Pervasive Developmental,60-64,72
2017,Pervasive Developmental,65+,64
2017,Personality,0-11,27
2017,Personality,12-14,21
2017,Personality,15-17,110
2017,Personality,18-20,324
2017,Personality,21-24,756
2017,Personality,25-29,1220
2017,Personality,30-34,1101
2017,Personality,35-39,1068
2017,Personality,40-44,928
2017,Personality,45-49,1025
2017,Personality,50-54,1063
2017,Personality,55-59,826
2017,Personality,60-64,521
2017,Personality,65+,719
2017,Schizophrenia/Other Psychotic,0-11,243
2017,Schizophrenia/Other Psychotic,12-14,269
2017,Schizophrenia/Other Psychotic,15-17,705
2017,Schizophrenia/Other Psychotic,18-20,1582
2017,Schizophrenia/Other Psychotic,21-24,3996
2017,Schizophrenia/Other Psychotic,25-29,7548
2017,Schizophrenia/Other Psychotic,30-34,8460
2017,Schizophrenia/Other Psychotic,35-39,9295
2017,Schizophrenia/Other Psychotic,40-44,9003
2017,Schizophrenia/Other Psychotic,45-49,11752
2017,Schizophrenia/Other Psychotic,50-54,15457
2017,Schizophrenia/Other Psychotic,55-59,17465
2017,Schizophrenia/Other Psychotic,60-64,13803
2017,Schizophrenia/Other Psychotic,65+,19961
2017,Alcohol/Substance Abuse,0-11,144
2017,Alcohol/Substance Abuse,12-14,264
2017,Alcohol/Substance Abuse,15-17,923
2017,Alcohol/Substance Abuse,18-20,588
2017,Alcohol/Substance Abuse,21-24,572
2017,Alcohol/Substance Abuse,25-29,1175
2017,Alcohol/Substance Abuse,30-34,1708
2017,Alcohol/Substance Abuse,35-39,2210
2017,Alcohol/Substance Abuse,40-44,1822
2017,Alcohol/Substance Abuse,45-49,2883
2017,Alcohol/Substance Abuse,50-54,3630
2017,Alcohol/Substance Abuse,55-59,3521
2017,Alcohol/Substance Abuse,60-64,2266
2017,Alcohol/Substance Abuse,65+,2823
2017,Other,0-11,6956
2017,Other,12-14,4540
2017,Other,15-17,5661
2017,Other,18-20,3429
2017,Other,21-24,4736
2017,Other,25-29,6507
2017,Other,30-34,5829
2017,Other,35-39,5274
2017,Other,40-44,4571
2017,Other,45-49,5119
2017,Other,50-54,5702
2017,Other,55-59,5184
2017,Other,60-64,3779
2017,Other,65+,6831
2018,Trauma/stress-related,0-11,35622
2018,Trauma/stress-related,12-14,14901
2018,Trauma/stress-related,15-17,13625
2018,Trauma/stress-related,18-20,6671
2018,Trauma/stress-related,21-24,7154
2018,Trauma/stress-related,25-29,11514
2018,Trauma/stress-related,30-34,11323
2018,Trauma/stress-related,35-39,10385
2018,Trauma/stress-related,40-44,8324
2018,Trauma/stress-related,45-49,8753
2018,Trauma/stress-related,50-54,8842
2018,Trauma/stress-related,55-59,7720
2018,Trauma/stress-related,60-64,5497
2018,Trauma/stress-related,65+,8659
2018,Anxiety,0-11,8612
2018,Anxiety,12-14,6051
2018,Anxiety,15-17,7262
2018,Anxiety,18-20,4842
2018,Anxiety,21-24,5595
2018,Anxiety,25-29,8727
2018,Anxiety,30-34,8889
2018,Anxiety,35-39,8146
2018,Anxiety,40-44,6613
2018,Anxiety,45-49,6700
2018,Anxiety,50-54,7099
2018,Anxiety,55-59,6359
2018,Anxiety,60-64,4389
2018,Anxiety,65+,6522
2018,ADHD,0-11,41351
2018,ADHD,12-14,16562
2018,ADHD,15-17,11665
2018,ADHD,18-20,5532
2018,ADHD,21-24,3982
2018,ADHD,25-29,4642
2018,ADHD,30-34,3136
2018,ADHD,35-39,1762
2018,ADHD,40-44,927
2018,ADHD,45-49,629
2018,ADHD,50-54,500
2018,ADHD,55-59,375
2018,ADHD,60-64,192
2018,ADHD,65+,128
2018,Conduct,0-11,8708
2018,Conduct,12-14,1924
2018,Conduct,15-17,2167
2018,Conduct,18-20,947
2018,Conduct,21-24,493
2018,Conduct,25-29,757
2018,Conduct,30-34,830
2018,Conduct,35-39,893
2018,Conduct,40-44,476
2018,Conduct,45-49,310
2018,Conduct,50-54,141
2018,Conduct,55-59,78
2018,Conduct,60-64,58
2018,Conduct,65+,75
2018,Delirium/dementia,0-11,88
2018,Delirium/dementia,12-14,24
2018,Delirium/dementia,15-17,47
2018,Delirium/dementia,18-20,56
2018,Delirium/dementia,21-24,57
2018,Delirium/dementia,25-29,119
2018,Delirium/dementia,30-34,143
2018,Delirium/dementia,35-39,148
2018,Delirium/dementia,40-44,138
2018,Delirium/dementia,45-49,233
2018,Delirium/dementia,50-54,331
2018,Delirium/dementia,55-59,449
2018,Delirium/dementia,60-64,452
2018,Delirium/dementia,65+,4168
2018,Bipolar,0-11,630
2018,Bipolar,12-14,1078
2018,Bipolar,15-17,2585
2018,Bipolar,18-20,3616
2018,Bipolar,21-24,5698
2018,Bipolar,25-29,10325
2018,Bipolar,30-34,10915
2018,Bipolar,35-39,11219
2018,Bipolar,40-44,9769
2018,Bipolar,45-49,10983
2018,Bipolar,50-54,11531
2018,Bipolar,55-59,10072
2018,Bipolar,60-64,6738
2018,Bipolar,65+,7959
2018,Depressive,0-11,3201
2018,Depressive,12-14,8187
2018,Depressive,15-17,14127
2018,Depressive,18-20,9816
2018,Depressive,21-24,11499
2018,Depressive,25-29,18727
2018,Depressive,30-34,19791
2018,Depressive,35-39,20053
2018,Depressive,40-44,18356
2018,Depressive,45-49,22503
2018,Depressive,50-54,26025
2018,Depressive,55-59,25292
2018,Depressive,60-64,18639
2018,Depressive,65+,26615
2018,Oppositional Defiant,0-11,8838
2018,Oppositional Defiant,12-14,4240
2018,Oppositional Defiant,15-17,3891
2018,Oppositional Defiant,18-20,1386
2018,Oppositional Defiant,21-24,931
2018,Oppositional Defiant,25-29,1283
2018,Oppositional Defiant,30-34,1186
2018,Oppositional Defiant,35-39,879
2018,Oppositional Defiant,40-44,302
2018,Oppositional Defiant,45-49,96
2018,Oppositional Defiant,50-54,21
2018,Oppositional Defiant,55-59,23
2018,Oppositional Defiant,60-64,8
2018,Oppositional Defiant,65+,25
2018,Pervasive Developmental,0-11,8348
2018,Pervasive Developmental,12-14,3552
2018,Pervasive Developmental,15-17,3006
2018,Pervasive Developmental,18-20,1953
2018,Pervasive Developmental,21-24,1165
2018,Pervasive Developmental,25-29,783
2018,Pervasive Developmental,30-34,436
2018,Pervasive Developmental,35-39,208
2018,Pervasive Developmental,40-44,129
2018,Pervasive Developmental,45-49,111
2018,Pervasive Developmental,50-54,96
2018,Pervasive Developmental,55-59,85
2018,Pervasive Developmental,60-64,55
2018,Pervasive Developmental,65+,68
2018,Personality,0-11,13
2018,Personality,12-14,34
2018,Personality,15-17,98
2018,Personality,18-20,305
2018,Personality,21-24,728
2018,Personality,25-29,1180
2018,Personality,30-34,1228
2018,Personality,35-39,1098
2018,Personality,40-44,930
2018,Personality,45-49,988
2018,Personality,50-54,1078
2018,Personality,55-59,850
2018,Personality,60-64,610
2018,Personality,65+,858
2018,Schizophrenia/Other Psychotic,0-11,217
2018,Schizophrenia/Other Psychotic,12-14,262
2018,Schizophrenia/Other Psychotic,15-17,752
2018,Schizophrenia/Other Psychotic,18-20,1583
2018,Schizophrenia/Other Psychotic,21-24,3789
2018,Schizophrenia/Other Psychotic,25-29,7278
2018,Schizophrenia/Other Psychotic,30-34,8122
2018,Schizophrenia/Other Psychotic,35-39,9145
2018,Schizophrenia/Other Psychotic,40-44,8686
2018,Schizophrenia/Other Psychotic,45-49,10737
2018,Schizophrenia/Other Psychotic,50-54,14078
2018,Schizophrenia/Other Psychotic,55-59,16533
2018,Schizophrenia/Other Psychotic,60-64,13910
2018,Schizophrenia/Other Psychotic,65+,20648
2018,Alcohol/Substance Abuse,0-11,87
2018,Alcohol/Substance Abuse,12-14,207
2018,Alcohol/Substance Abuse,15-17,956
2018,Alcohol/Substance Abuse,18-20,820
2018,Alcohol/Substance Abuse,21-24,831
2018,Alcohol/Substance Abuse,25-29,1788
2018,Alcohol/Substance Abuse,30-34,2299
2018,Alcohol/Substance Abuse,35-39,2712
2018,Alcohol/Substance Abuse,40-44,2134
2018,Alcohol/Substance Abuse,45-49,2942
2018,Alcohol/Substance Abuse,50-54,3775
2018,Alcohol/Substance Abuse,55-59,3787
2018,Alcohol/Substance Abuse,60-64,2630
2018,Alcohol/Substance Abuse,65+,3259
2018,Other,0-11,9181
2018,Other,12-14,6223
2018,Other,15-17,7328
2018,Other,18-20,4707
2018,Other,21-24,5459
2018,Other,25-29,7961
2018,Other,30-34,7194
2018,Other,35-39,6504
2018,Other,40-44,5522
2018,Other,45-49,5946
2018,Other,50-54,6743
2018,Other,55-59,6326
2018,Other,60-64,4715
2018,Other,65+,8154
2019,Trauma/stress-related,0-11,33507
2019,Trauma/stress-related,12-14,15042
2019,Trauma/stress-related,15-17,13152
2019,Trauma/stress-related,18-20,7056
2019,Trauma/stress-related,21-24,7335
2019,Trauma/stress-related,25-29,11925
2019,Trauma/stress-related,30-34,12163
2019,Trauma/stress-related,35-39,11166
2019,Trauma/stress-related,40-44,8768
2019,Trauma/stress-related,45-49,8780
2019,Trauma/stress-related,50-54,8969
2019,Trauma/stress-related,55-59,8182
2019,Trauma/stress-related,60-64,5990
2019,Trauma/stress-related,65+,9482
2019,Anxiety,0-11,7677
2019,Anxiety,12-14,5664
2019,Anxiety,15-17,6822
2019,Anxiety,18-20,5170
2019,Anxiety,21-24,5969
2019,Anxiety,25-29,9305
2019,Anxiety,30-34,9629
2019,Anxiety,35-39,8929
2019,Anxiety,40-44,7064
2019,Anxiety,45-49,6936
2019,Anxiety,50-54,7321
2019,Anxiety,55-59,6722
2019,Anxiety,60-64,4864
2019,Anxiety,65+,7183
2019,ADHD,0-11,37043
2019,ADHD,12-14,15597
2019,ADHD,15-17,10925
2019,ADHD,18-20,5507
2019,ADHD,21-24,3939
2019,ADHD,25-29,4740
2019,ADHD,30-34,3543
2019,ADHD,35-39,2029
2019,ADHD,40-44,973
2019,ADHD,45-49,684
2019,ADHD,50-54,513
2019,ADHD,55-59,395
2019,ADHD,60-64,217
2019,ADHD,65+,158
2019,Conduct,0-11,7898
2019,Conduct,12-14,1531
2019,Conduct,15-17,1636
2019,Conduct,18-20,833
2019,Conduct,21-24,456
2019,Conduct,25-29,782
2019,Conduct,30-34,784
2019,Conduct,35-39,906
2019,Conduct,40-44,547
2019,Conduct,45-49,373
2019,Conduct,50-54,159
2019,Conduct,55-59,78
2019,Conduct,60-64,60
2019,Conduct,65+,84
2019,Delirium/dementia,0-11,83
2019,Delirium/dementia,12-14,18
2019,Delirium/dementia,15-17,34
2019,Delirium/dementia,18-20,36
2019,Delirium/dementia,21-24,48
2019,Delirium/dementia,25-29,107
2019,Delirium/dementia,30-34,120
2019,Delirium/dementia,35-39,121
2019,Delirium/dementia,40-44,130
2019,Delirium/dementia,45-49,181
2019,Delirium/dementia,50-54,265
2019,Delirium/dementia,55-59,343
2019,Delirium/dementia,60-64,453
2019,Delirium/dementia,65+,3928
2019,Bipolar,0-11,403
2019,Bipolar,12-14,810
2019,Bipolar,15-17,2088
2019,Bipolar,18-20,3254
2019,Bipolar,21-24,5426
2019,Bipolar,25-29,10009
2019,Bipolar,30-34,11006
2019,Bipolar,35-39,11138
2019,Bipolar,40-44,9655
2019,Bipolar,45-49,10583
2019,Bipolar,50-54,11173
2019,Bipolar,55-59,10283
2019,Bipolar,60-64,7093
2019,Bipolar,65+,8630
2019,Depressive,0-11,2540
2019,Depressive,12-14,6887
2019,Depressive,15-17,12350
2019,Depressive,18-20,9831
2019,Depressive,21-24,11752
2019,Depressive,25-29,18602
2019,Depressive,30-34,20004
2019,Depressive,35-39,20039
2019,Depressive,40-44,18340
2019,Depressive,45-49,21563
2019,Depressive,50-54,25104
2019,Depressive,55-59,25654
2019,Depressive,60-64,19809
2019,Depressive,65+,28427
2019,Oppositional Defiant,0-11,8200
2019,Oppositional Defiant,12-14,3906
2019,Oppositional Defiant,15-17,3449
2019,Oppositional Defiant,18-20,1282
2019,Oppositional Defiant,21-24,877
2019,Oppositional Defiant,25-29,1256
2019,Oppositional Defiant,30-34,1224
2019,Oppositional Defiant,35-39,985
2019,Oppositional Defiant,40-44,388
2019,Oppositional Defiant,45-49,121
2019,Oppositional Defiant,50-54,23
2019,Oppositional Defiant,55-59,20
2019,Oppositional Defiant,60-64,14
2019,Oppositional Defiant,65+,26
2019,Pervasive Developmental,0-11,5996
2019,Pervasive Developmental,12-14,3021
2019,Pervasive Developmental,15-17,2610
2019,Pervasive Developmental,18-20,1963
2019,Pervasive Developmental,21-24,1085
2019,Pervasive Developmental,25-29,831
2019,Pervasive Developmental,30-34,436
2019,Pervasive Developmental,35-39,216
2019,Pervasive Developmental,40-44,123
2019,Pervasive Developmental,45-49,113
2019,Pervasive Developmental,50-54,83
2019,Pervasive Developmental,55-59,82
2019,Pervasive Developmental,60-64,55
2019,Pervasive Developmental,65+,68
2019,Personality,0-11,8
2019,Personality,12-14,28
2019,Personality,15-17,90
2019,Personality,18-20,301
2019,Personality,21-24,731
2019,Personality,25-29,1230
2019,Personality,30-34,1262
2019,Personality,35-39,1104
2019,Personality,40-44,911
2019,Personality,45-49,927
2019,Personality,50-54,957
2019,Personality,55-59,872
2019,Personality,60-64,587
2019,Personality,65+,840
2019,Schizophrenia/Other Psychotic,0-11,149
2019,Schizophrenia/Other Psychotic,12-14,214
2019,Schizophrenia/Other Psychotic,15-17,576
2019,Schizophrenia/Other Psychotic,18-20,1534
2019,Schizophrenia/Other Psychotic,21-24,3637
2019,Schizophrenia/Other Psychotic,25-29,7315
2019,Schizophrenia/Other Psychotic,30-34,7921
2019,Schizophrenia/Other Psychotic,35-39,9115
2019,Schizophrenia/Other Psychotic,40-44,8464
2019,Schizophrenia/Other Psychotic,45-49,10130
2019,Schizophrenia/Other Psychotic,50-54,13141
2019,Schizophrenia/Other Psychotic,55-59,15969
2019,Schizophrenia/Other Psychotic,60-64,14392
2019,Schizophrenia/Other Psychotic,65+,21781
2019,Alcohol/Substance Abuse,0-11,43
2019,Alcohol/Substance Abuse,12-14,85
2019,Alcohol/Substance Abuse,15-17,426
2019,Alcohol/Substance Abuse,18-20,519
2019,Alcohol/Substance Abuse,21-24,556
2019,Alcohol/Substance Abuse,25-29,1496
2019,Alcohol/Substance Abuse,30-34,2035
2019,Alcohol/Substance Abuse,35-39,2609
2019,Alcohol/Substance Abuse,40-44,2109
2019,Alcohol/Substance Abuse,45-49,2723
2019,Alcohol/Substance Abuse,50-54,3509
2019,Alcohol/Substance Abuse,55-59,3946
2019,Alcohol/Substance Abuse,60-64,2853
2019,Alcohol/Substance Abuse,65+,3640
2019,Other,0-11,8564
2019,Other,12-14,5843
2019,Other,15-17,6725
2019,Other,18-20,4650
2019,Other,21-24,5434
2019,Other,25-29,8156
2019,Other,30-34,7638
2019,Other,35-39,6719
2019,Other,40-44,5710
2019,Other,45-49,6004
2019,Other,50-54,6611
2019,Other,55-59,6566
2019,Other,60-64,5076
2019,Other,65+,8926
2020,Trauma/stress-related,0-11,33523
2020,Trauma/stress-related,12-14,15417
2020,Trauma/stress-related,15-17,13402
2020,Trauma/stress-related,18-20,7175
2020,Trauma/stress-related,21-24,7323
2020,Trauma/stress-related,25-29,11734
2020,Trauma/stress-related,30-34,12729
2020,Trauma/stress-related,35-39,11642
2020,Trauma/stress-related,40-44,9318
2020,Trauma/stress-related,45-49,8759
2020,Trauma/stress-related,50-54,9163
2020,Trauma/stress-related,55-59,8432
2020,Trauma/stress-related,60-64,6350
2020,Trauma/stress-related,65+,10118
2020,Anxiety,0-11,8401
2020,Anxiety,12-14,6309
2020,Anxiety,15-17,7766
2020,Anxiety,18-20,5737
2020,Anxiety,21-24,6164
2020,Anxiety,25-29,9784
2020,Anxiety,30-34,10223
2020,Anxiety,35-39,9384
2020,Anxiety,40-44,7531
2020,Anxiety,45-49,7195
2020,Anxiety,50-54,7302
2020,Anxiety,55-59,7153
2020,Anxiety,60-64,5331
2020,Anxiety,65+,7844
2020,ADHD,0-11,37006
2020,ADHD,12-14,15695
2020,ADHD,15-17,10957
2020,ADHD,18-20,5533
2020,ADHD,21-24,3895
2020,ADHD,25-29,4839
2020,ADHD,30-34,3889
2020,ADHD,35-39,2279
2020,ADHD,40-44,1096
2020,ADHD,45-49,754
2020,ADHD,50-54,544
2020,ADHD,55-59,459
2020,ADHD,60-64,261
2020,ADHD,65+,164
2020,Conduct,0-11,7282
2020,Conduct,12-14,1452
2020,Conduct,15-17,1585
2020,Conduct,18-20,655
2020,Conduct,21-24,381
2020,Conduct,25-29,734
2020,Conduct,30-34,732
2020,Conduct,35-39,884
2020,Conduct,40-44,626
2020,Conduct,45-49,374
2020,Conduct,50-54,185
2020,Conduct,55-59,71
2020,Conduct,60-64,51
2020,Conduct,65+,84
2020,Delirium/dementia,0-11,67
2020,Delirium/dementia,12-14,25
2020,Delirium/dementia,15-17,28
2020,Delirium/dementia,18-20,28
2020,Delirium/dementia,21-24,61
2020,Delirium/dementia,25-29,70
2020,Delirium/dementia,30-34,116
2020,Delirium/dementia,35-39,121
2020,Delirium/dementia,40-44,114
2020,Delirium/dementia,45-49,172
2020,Delirium/dementia,50-54,224
2020,Delirium/dementia,55-59,336
2020,Delirium/dementia,60-64,404
2020,Delirium/dementia,65+,3715
2020,Bipolar,0-11,354
2020,Bipolar,12-14,799
2020,Bipolar,15-17,1944
2020,Bipolar,18-20,2953
2020,Bipolar,21-24,5193
